rtu_name,scans_good,scans_bad,bytes_transmited,bytes_recived,scan_type_idle,scan_type_command,scan_type_init,tipo_evento
MOLLEPATA,971837,2,732744,28349241,0,7,111,1
LA_BREA,970917,0,728954,29160251,0,3,2,1
PARIÑAS,970568,0,728758,88149111,0,6,1,1
LA_BREA,968512,0,727126,28790448,0,3,1,1
CHAVARRIA_N,968327,0,727716,27470265,0,11,1,1
ORCOTUNA,962278,4,721982,85950811,0,3,11,1
SANJUAN_N,960571,0,722302,26555267,0,11,2,1
CHAVARRIA_N,954050,8,717938,26927885,0,52,14,1
CHAVARRIA_N,953424,0,716330,26829210,0,10,1,1
ZORRITOS_N,953273,0,717002,26495961,0,9,2,1
ORCOTUNA,952886,6,715118,82504545,0,3,10,1
CHAVARRIA_N,950140,0,714074,26976025,0,11,6,1
LA_BREA,949334,0,713360,28145987,0,45,2,1
TOCACHE_N,948779,12,713348,25948547,0,9,11,1
SANJUAN_N,947939,0,713062,26315132,0,3,10,1
SANJUAN_N,946782,2,713468,26267598,0,120,1,1
